Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                              0.000000                            0.000000
Epoch10                             0.000000                            0.000000
Epoch11                             0.000000                            0.000000
Epoch12                             0.000000                            0.000000
Epoch13                             0.000000                            0.000000
Epoch14                            30.281955                           30.281955
Epoch15                             6.090246                           36.372201
Epoch16                             0.000000                           36.372201
Epoch17                             0.000000                           36.372201
Epoch18                             0.000000                           36.372201
Epoch19                             0.000000                           36.372201
Epoch20                             0.000000                           36.372201
Epoch21                             0.000000                           36.372201
Epoch22                             0.000000                           36.372201
Epoch23                             0.000000                           36.372201
Epoch24                             7.370560                           43.742761
Epoch25                            71.582811                          115.325572
Epoch26                            28.238936                          143.564508
Epoch27                            28.211482                          171.775990
Epoch28                            19.825554                          191.601544
Epoch29                            31.920548                          223.522092
