Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              1.772742                            1.772742
Epoch3                              3.368011                            5.140754
Epoch4                              7.514282                           12.655036
Epoch5                              2.754171                           15.409206
Epoch6                              2.616793                           18.025999
Epoch7                              0.000000                           18.025999
Epoch8                              0.000000                           18.025999
Epoch9                              0.000000                           18.025999
Epoch10                             0.000000                           18.025999
Epoch11                             0.000000                           18.025999
Epoch12                             0.000000                           18.025999
Epoch13                             0.000000                           18.025999
Epoch14                             0.000000                           18.025999
Epoch15                             0.000000                           18.025999
