Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.006844                            0.006844
Epoch2                              0.000000                            0.006844
Epoch3                              0.000000                            0.006844
Epoch4                              0.000000                            0.006844
Epoch5                              0.000000                            0.006844
Epoch6                              0.000000                            0.006844
Epoch7                              0.000000                            0.006844
Epoch8                              0.000000                            0.006844
Epoch9                              0.000000                            0.006844
Epoch10                             0.000000                            0.006844
Epoch11                             0.000000                            0.006844
Epoch12                             0.000000                            0.006844
Epoch13                             0.000000                            0.006844
Epoch14                             0.000000                            0.006844
Epoch15                             0.000000                            0.006844
