Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                              0.000000                            0.000000
Epoch10                             0.000000                            0.000000
Epoch11                             0.000000                            0.000000
Epoch12                            13.520255                           13.520255
Epoch13                             7.557858                           21.078114
Epoch14                            35.230013                           56.308126
Epoch15                            63.375916                          119.684042
Epoch16                            30.794030                          150.478072
Epoch17                            15.822671                          166.300742
Epoch18                            13.191400                          179.492142
Epoch19                           171.473462                          350.965604
Epoch20                           154.118882                          505.084486
Epoch21                           218.004414                          723.088900
Epoch22                           251.332387                          974.421287
Epoch23                         1,164.149883                        2,138.571170
Epoch24                           335.270568                        2,473.841738
Epoch25                           300.890365                        2,774.732103
Epoch26                           328.090100                        3,102.822203
Epoch27                            33.672347                        3,136.494551
Epoch28                            10.788815                        3,147.283366
Epoch29                             0.000000                        3,147.283366
Epoch30                             0.000000                        3,147.283366
Epoch31                             0.000000                        3,147.283366
