Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.557554                            0.557554
Epoch3                              0.614376                            1.171930
Epoch4                              0.000000                            1.171930
Epoch5                              0.242276                            1.414207
Epoch6                              0.000000                            1.414207
Epoch7                              0.000000                            1.414207
Epoch8                              0.000000                            1.414207
Epoch9                              0.000000                            1.414207
Epoch10                             0.000000                            1.414207
Epoch11                             0.000000                            1.414207
Epoch12                             0.000000                            1.414207
Epoch13                             0.000000                            1.414207
Epoch14                             0.000000                            1.414207
Epoch15                             0.000000                            1.414207
Epoch16                             0.000000                            1.414207
Epoch17                             0.000000                            1.414207
Epoch18                             0.000000                            1.414207
Epoch19                             0.000000                            1.414207
Epoch20                             0.000000                            1.414207
Epoch21                             0.000000                            1.414207
Epoch22                             0.000000                            1.414207
Epoch23                             0.000000                            1.414207
Epoch24                             0.000000                            1.414207
Epoch25                             0.000000                            1.414207
Epoch26                             0.000000                            1.414207
Epoch27                             0.000000                            1.414207
Epoch28                             0.000000                            1.414207
Epoch29                             0.000000                            1.414207
