Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                          1,681.293536                        1,681.293536
Epoch3                          2,374.817901                        4,056.111437
Epoch4                          1,631.244385                        5,687.355822
Epoch5                          1,695.575381                        7,382.931203
Epoch6                             27.573698                        7,410.504901
Epoch7                          1,819.109363                        9,229.614265
Epoch8                          1,719.978392                       10,949.592657
Epoch9                            932.161905                       11,881.754562
Epoch10                           265.481712                       12,147.236274
Epoch11                             0.000000                       12,147.236274
Epoch12                             0.000000                       12,147.236274
Epoch13                             0.000000                       12,147.236274
Epoch14                             0.000000                       12,147.236274
Epoch15                             0.000000                       12,147.236274
Epoch16                             0.000000                       12,147.236274
Epoch17                             0.000000                       12,147.236274
Epoch18                             0.000000                       12,147.236274
Epoch19                             0.000000                       12,147.236274
Epoch20                             0.000000                       12,147.236274
Epoch21                             0.000000                       12,147.236274
Epoch22                             0.000000                       12,147.236274
Epoch23                             0.000000                       12,147.236274
Epoch24                             0.000000                       12,147.236274
Epoch25                             0.000000                       12,147.236274
Epoch26                             0.000000                       12,147.236274
Epoch27                             0.000000                       12,147.236274
Epoch28                             0.000000                       12,147.236274
Epoch29                             0.000000                       12,147.236274
Epoch30                             0.000000                       12,147.236274
Epoch31                             0.000000                       12,147.236274
