Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.013090                            0.013090
Epoch3                              0.000000                            0.013090
Epoch4                              0.000000                            0.013090
Epoch5                              0.000000                            0.013090
Epoch6                              0.000000                            0.013090
Epoch7                              0.000000                            0.013090
Epoch8                              0.000000                            0.013090
Epoch9                              0.000000                            0.013090
Epoch10                             0.000000                            0.013090
Epoch11                             0.000000                            0.013090
Epoch12                             0.000000                            0.013090
Epoch13                             0.000000                            0.013090
Epoch14                             0.000000                            0.013090
Epoch15                             0.000000                            0.013090
Epoch16                             0.000000                            0.013090
Epoch17                             0.000000                            0.013090
Epoch18                             0.000000                            0.013090
Epoch19                             0.000000                            0.013090
Epoch20                             0.000000                            0.013090
Epoch21                             0.000000                            0.013090
Epoch22                             0.000000                            0.013090
Epoch23                             0.000000                            0.013090
Epoch24                             0.000000                            0.013090
Epoch25                             0.000000                            0.013090
Epoch26                             0.000000                            0.013090
Epoch27                             0.000000                            0.013090
Epoch28                             0.000000                            0.013090
